Instruction_1.started,Instruction_1.stopped,key_resp.keys,調査協力者ID,date,expName,psychopyVersion,OS,frameRate,Testing.started,Testing.stopped,key_resp_5.keys,key_resp_5.corr,testingLoop.thisRepN,testingLoop.thisTrialN,testingLoop.thisN,testingLoop.thisIndex,testingLoop.ran,ss_Testing.started,ss_Testing.stopped,key_resp_13.keys,key_resp_13.corr,ss_TestingLoop.thisRepN,ss_TestingLoop.thisTrialN,ss_TestingLoop.thisN,ss_TestingLoop.thisIndex,ss_TestingLoop.ran,nb1TestingInstruct.started,nb1TestingInstruct.stopped,nb1TestingDisplay.started,nb1TestingDisplay.stopped,nb1TestingNumber.started,nb1TestingNumber.stopped,nb1TestingResponse.started,nb1TestingResponse.stopped,key_resp_20.keys,key_resp_20.corr,nb1TestingLoop.thisRepN,nb1TestingLoop.thisTrialN,nb1TestingLoop.thisN,nb1TestingLoop.thisIndex,nb1TestingLoop.ran,nb1TestingPreLocation,nb1TestingLocation,nb1TestingDistance,nb1TestingFixationNumber,nb1TestingCorrResp,nb1Testingvisual_hemifield,nb2TestingInstruct.started,nb2TestingInstruct.stopped,nb2TestingDisplay_1.started,nb2TestingDisplay_1.stopped,nb2TestingDisplay_2.started,nb2TestingDisplay_2.stopped,nb2TestingResponse.started,nb2TestingResponse.stopped,key_resp_29.keys,key_resp_29.corr,nb2TestingLoop.thisRepN,nb2TestingLoop.thisTrialN,nb2TestingLoop.thisN,nb2TestingLoop.thisIndex,nb2TestingLoop.ran,nb2TestingPreLocation,nb2TestingLocation,nb2TestingDistance,nb2TestingCorrResp,nb2TestingInterference,nb2Testingvisual_hemifield,key_resp_5.rt,key_resp_5.duration,key_resp_13.rt,key_resp_13.duration,key_resp_20.rt,key_resp_20.duration,key_resp_29.rt,key_resp_29.duration,id,time
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,222.0859,224.8845,,0.0,18.0,0.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,224.8869,227.684,,0.0,19.0,0.0,19.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,227.6865,230.8007,,0.0,20.0,0.0,20.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,230.8031,233.8013,,0.0,21.0,0.0,21.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,233.8035,236.3513,,0.0,22.0,0.0,22.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,236.3532,239.2174,,0.0,23.0,0.0,23.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,239.22,241.9351,,0.0,24.0,0.0,24.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,241.9377,244.7519,,0.0,25.0,0.0,25.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,244.7542,247.0853,,0.0,26.0,0.0,26.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,247.0878,249.952,,0.0,27.0,0.0,27.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
